run_id,case_id,llm_name,procedure_count,matched_count,match_rate,total_cost_negotiated,total_cost_min,total_cost_max,unmatched_procedures
0004fef9-08f6-4ae3-86f9-921887cfd624,nzlii-nzera-2022-536-html,openai/gpt-5.2,13,13,1.0,2112.53,2112.53,2727.2,
000547a6-ae07-448f-a823-28920169e163,nzlii-nzhpdt-2015-717-html,openrouter/deepseek/deepseek-r1,5,5,1.0,253.02,253.02,326.65,
0017427e-1667-4855-b6fe-ca09fb2be4e7,bailii-qb-2022-637-html,openai/gpt-4o-mini,0,0,0.0,,,,
00379be3-f13c-4e67-a6b6-0c463f97f5c6,courtlistener-10349638,openrouter/google/gemini-3-pro-preview,5,5,1.0,403.09999999999997,403.09999999999997,520.4,
00382404-1e82-4469-86ec-583ad0aa14e9,courtliste-4832982-texas-children-hospital-v-aviv-barr-and-ela-b,openrouter/mistralai/mistral-large,1,1,1.0,590.8,590.8,762.7,
0056cd98-7127-48be-b714-85afb71cf60d,bailii-qb-2020-3506-html,openrouter/deepseek/deepseek-r1,3,3,1.0,2083.86,2083.86,2690.2,
0069ecc3-a415-4be9-b32b-05ee8466d6c6,courtlistener-4871470,openrouter/google/gemini-2.0-flash-001,6,6,1.0,1480.23,1480.23,1910.93,
00916ecc-abc6-4082-93e5-13b6e714443d,nzlii-nzmpdt-2003-247-html,openrouter/anthropic/claude-3.5-haiku,3,3,1.0,934.43,934.43,1206.32,
00994e6c-e6cb-45dd-b06d-0a29877f33f6,courtlistener-10686238,openai/gpt-5.2,15,15,1.0,2601.62,2601.62,3358.64,
009f4f29-1731-4f04-abc8-88e513361ceb,courtlistener-10626730,openrouter/anthropic/claude-3.5-haiku,0,0,0.0,,,,
00a32797-bd50-4efa-a0a5-ec15530ce879,courtlistener-5287759,openrouter/x-ai/grok-4.1-fast,5,5,1.0,1345.74,1345.74,1737.29,
00bbc901-b269-4084-84d5-28a5d9c927ac,courtlistener-10741548,openai/gpt-4o-mini,0,0,0.0,,,,
00c4f4eb-b341-4774-887c-710556a511ad,bailii-qb-2022-637-html,openai/gpt-5.2,1,1,1.0,55.17,55.17,71.22,
00ceeb14-3f25-456c-92a5-4a416e25d973,courtliste-10622125-courtney-v-durrani,gold/x-ai/grok-4.1-fast,6,6,1.0,1360.6599999999999,1360.6599999999999,1756.55,
00e46d2e-0900-46f1-be5e-d3e92715be02,courtlistener-4493098,openrouter/meta-llama/llama-4-scout,4,4,1.0,174.25,174.25,224.94,
00eeb500-83c3-42c8-a940-2a00b61fea31,courtlistener-10005699,openrouter/anthropic/claude-3.5-haiku,9,9,1.0,147.73,147.73,190.73,
0101c788-6e59-47c0-bb0a-b6920141b930,courtlistener-4895984,openrouter/mistralai/mistral-large,3,3,1.0,1382.45,1382.45,1784.69,
0105dbab-746f-4ebd-b0c2-c47184ed51d2,courtlistener-10664573,openrouter/x-ai/grok-4.1-fast,8,8,1.0,3084.8,3084.8,3982.4,
010af044-5dc8-4aae-9901-2eab27927e0c,courtliste-10750826-virginia-dodson-stephens-v-metropolitan-gove,openrouter/anthropic/claude-sonnet-4,6,6,1.0,3934.32,3934.32,5079.08,
01191cb7-7ca3-4dcb-b6c0-f8dc5f502200,courtlistener-10760948,openai/gpt-4o,0,0,0.0,,,,
0125435b-d44d-45c9-81f2-fd85a52533d0,bailii-qb-2021-2332-html,openrouter/mistralai/mistral-large,5,5,1.0,1395.91,1395.91,1802.0900000000001,
012f895d-44ea-4e6c-8f3b-f59996f652db,courtlistener-10717133,openai/gpt-4o,2,2,1.0,28.200000000000003,28.200000000000003,36.42,
01388f76-f363-4848-b8fe-96b9b34397c2,nzlii-nzhpdt-2017-900-html,openrouter/mistralai/mistral-large,0,0,0.0,,,,
013ef2be-6133-40b4-abe9-2a3aab7bae1e,bailii-qb-2021-2989-html,openrouter/meta-llama/llama-4-scout,5,5,1.0,1268.91,1268.91,1638.12,
0157cfa2-dd1b-4eaa-aada-258e411933e9,courtliste-10771603-damiani-v-wsnch-n-inc,openrouter/anthropic/claude-sonnet-4,1,1,1.0,341.38,341.38,440.71,
015dff26-4238-4be4-9635-d2a41ac5bbe2,bailii-qb-2020-3506-html,openrouter/qwen/qwen3-30b-a3b,3,3,1.0,2131.3,2131.3,2751.44,
016ebb14-a329-45b0-9452-34af950d5e20,nzlii-nzhc-2019-1581-html,openrouter/meta-llama/llama-4-scout,4,4,1.0,929.64,929.64,1200.13,
017531ff-e070-4fbd-891c-3794546b7bdc,courtlistener-4870456,openrouter/meta-llama/llama-4-scout,2,2,1.0,598.7,598.7,772.8900000000001,
0195c189-5e17-4101-8599-0922e033679a,bailii-ewhc-2017-2990,openrouter/deepseek/deepseek-r1,2,2,1.0,55.32,55.32,71.43,
0198e54e-0222-42a9-ac0b-906e0e6e9feb,courtlistener-4724738,openrouter/deepseek/deepseek-r1,5,5,1.0,2016.7,2016.7,2603.5,
